source_stage,source_manifest,source_protocol_version,source_run_name,consumer_stage,consumer_file,consumption_boundary,run_name,stage,dataset,model_name,seed,split_role,metric_name,metric_key,metric_value,sample_count,checkpoint_path,checkpoint_sha256,independent_metric_check_path,result_tag,aggregation,evidence_status
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Object Hausdorff,object_hausdorff,83.21937875849288,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Dice,dice,0.9094581283170029,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,IoU,iou,0.8411606275435806,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,HD95,hd95,39.502018922964716,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Boundary F1,boundary_f1,0.7569685093658918,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,F1,f1,0.7214786602286603,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Object Dice,objdice,0.8295660218362964,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Object Hausdorff,object_hausdorff,90.40675429510088,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Dice,dice,0.9227721379016527,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,IoU,iou,0.8644049202066677,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,HD95,hd95,25.65455338001251,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Boundary F1,boundary_f1,0.7196367803585112,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
